#{"t_start": 1752288568.589439, "env_id": "None"}
r,l,t
12.048137,500,14598.636654
2.985988,500,14611.458166
5.686134,500,14630.135602
15.064475,500,14643.093051
3.386092,500,14656.479922
7.974236,500,14669.922657
-0.964781,500,14700.595475
9.121817,500,14713.894275
3.122895,500,14727.242496
19.55526,500,14740.538524
24.974985,500,14770.414551
10.356708,500,14783.471283
9.824654,500,14796.254603
20.104481,500,14809.16073
24.864693,500,14839.297061
4.486585,500,14852.302136
20.848695,500,14865.222917
8.636877,500,14878.039647
9.523056,500,14907.897203
9.716359,500,14920.765133
15.884246,500,14933.468302
18.86858,500,14946.303
20.010256,500,14964.748747
19.448438,500,14977.523864
4.402729,500,14991.052469
3.810217,500,15003.902979
7.980994,500,15033.985088
5.301667,500,15046.883084
18.17534,500,15059.993488
6.629807,500,15072.834872
10.943886,500,15102.207313
2.364234,500,15115.430578
6.062236,500,15128.552045
12.279435,500,15141.415067
6.616069,500,15171.207019
5.855078,500,15184.135399
7.212282,500,15197.241387
2.777943,500,15209.809796
9.911368,500,15239.293498
5.456342,500,15252.384179
17.248726,500,15265.099294
21.077973,500,15277.751108
-2.457335,500,15296.056123
6.292015,500,15308.867654
19.450022,500,15322.122946
21.698667,500,15334.849824
12.409916,500,15364.627101
5.410032,500,15377.548824
26.573304,500,15390.471688
8.148404,500,15403.198417
19.388202,500,15432.56095
12.469585,500,15445.658981
6.34966,500,15458.583751
12.09075,500,15471.251602
5.698382,500,15500.865831
10.513916,500,15513.731137
20.488178,500,15526.567845
11.985554,500,15539.261193
10.472768,500,15569.099067
8.177158,500,15582.133373
4.848362,500,15594.822506
8.423617,500,15607.473485
